"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Calgary, Alberta [48825]","2021A003548825","Number of cybercrime incidents","Number","223","units","0","v116321154","40.1","","..","","","0"
"2014","Calgary, Alberta [48825]","2021A003548825","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321155","40.2","","..","","","1"
"2014","Edmonton, Alberta [48835]","2021A003548835","Number of cybercrime incidents","Number","223","units","0","v116321156","41.1","531","","","","0"
"2014","Edmonton, Alberta [48835]","2021A003548835","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321157","41.2","40.0","","","","1"
"2014","British Columbia [59]","2021A000259","Number of cybercrime incidents","Number","223","units","0","v116321158","42.1","3433","","","","0"
"2014","British Columbia [59]","2021A000259","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321159","42.2","74.1","","","","1"
"2014","Kelowna, British Columbia [59915]","2021A003559915","Number of cybercrime incidents","Number","223","units","0","v116321162","44.1","189","","","","0"
"2014","Kelowna, British Columbia [59915]","2021A003559915","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321163","44.2","99.5","","","","1"
"2014","Abbotsford-Mission, British Columbia [59932]","2021A003559932","Number of cybercrime incidents","Number","223","units","0","v116321160","43.1","179","","","","0"
"2014","Abbotsford-Mission, British Columbia [59932]","2021A003559932","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321161","43.2","100.0","","","","1"
"2014","Vancouver, British Columbia [59933]","2021A003559933","Number of cybercrime incidents","Number","223","units","0","v116321164","45.1","1832","","","","0"
"2014","Vancouver, British Columbia [59933]","2021A003559933","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321165","45.2","74.1","","","","1"
"2014","Victoria, British Columbia [59935]","2021A003559935","Number of cybercrime incidents","Number","223","units","0","v116321166","46.1","232","","","","0"
"2014","Victoria, British Columbia [59935]","2021A003559935","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321167","46.2","64.6","","","","1"
"2014","Yukon [60]","2021A000260","Number of cybercrime incidents","Number","223","units","0","v116321168","47.1","22","","","","0"
"2014","Yukon [60]","2021A000260","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321169","47.2","60.3","","","","1"
"2014","Northwest Territories [61]","2021A000261","Number of cybercrime incidents","Number","223","units","0","v116321170","48.1","15","","","","0"
"2014","Northwest Territories [61]","2021A000261","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321171","48.2","34.4","","","","1"
"2014","Nunavut [62]","2021A000262","Number of cybercrime incidents","Number","223","units","0","v116321172","49.1","8","","","","0"
"2014","Nunavut [62]","2021A000262","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321173","49.2","21.9","","","","1"
"2015","Total police-reported cybercrime","","Number of cybercrime incidents","Number","223","units","0","v116321076","1.1","17887","","","","0"
"2015","Total police-reported cybercrime","","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321077","1.2","55.6","","","","1"
"2015","Total Non-Census metropolitan area","","Number of cybercrime incidents","Number","223","units","0","v116321078","2.1","5811","","","","0"
"2015","Total Non-Census metropolitan area","","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321079","2.2","66.3","","","","1"
"2015","Total Census metropolitan area","","Number of cybercrime incidents","Number","223","units","0","v116321080","3.1","12076","","","","0"
"2015","Total Census metropolitan area","","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321081","3.2","51.6","","","","1"
"2015","Newfoundland and Labrador [10]","2021A000210","Number of cybercrime incidents","Number","223","units","0","v116321082","4.1","190","","","","0"
"2015","Newfoundland and Labrador [10]","2021A000210","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321083","4.2","36.0","","","","1"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Number of cybercrime incidents","Number","223","units","0","v116321084","5.1","34","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321085","5.2","16.5","","","","1"
"2015","Prince Edward Island [11]","2021A000211","Number of cybercrime incidents","Number","223","units","0","v116321086","6.1","79","","","","0"
"2015","Prince Edward Island [11]","2021A000211","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321087","6.2","53.9","","","","1"
"2015","Nova Scotia [12]","2021A000212","Number of cybercrime incidents","Number","223","units","0","v116321088","7.1","1377","","","","0"
"2015","Nova Scotia [12]","2021A000212","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321089","7.2","146.0","","","","1"
"2015","Halifax, Nova Scotia [12205]","2021A003512205","Number of cybercrime incidents","Number","223","units","0","v116321090","8.1","645","","","","0"
"2015","Halifax, Nova Scotia [12205]","2021A003512205","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321091","8.2","154.4","","","","1"
"2015","New Brunswick [13]","2021A000213","Number of cybercrime incidents","Number","223","units","0","v116321092","9.1","504","","","","0"
"2015","New Brunswick [13]","2021A000213","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321093","9.2","73.6","","","","1"
"2015","Moncton, New Brunswick [13305]","2021A003513305","Number of cybercrime incidents","Number","223","units","0","v116321094","10.1","119","","","","0"
"2015","Moncton, New Brunswick [13305]","2021A003513305","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321095","10.2","81.3","","","","1"
"2015","Saint John, New Brunswick [13310]","2021A003513310","Number of cybercrime incidents","Number","223","units","0","v116321096","11.1","","..","","","0"
"2015","Saint John, New Brunswick [13310]","2021A003513310","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321097","11.2","","..","","","1"
"2015","Quebec [24]","2021A000224","Number of cybercrime incidents","Number","223","units","0","v116321098","12.1","2160","","","","0"
"2015","Quebec [24]","2021A000224","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321099","12.2","26.3","","","","1"
"2015","Saguenay, Quebec [24408]","2021A003524408","Number of cybercrime incidents","Number","223","units","0","v116321106","16.1","45","","","","0"
"2015","Saguenay, Quebec [24408]","2021A003524408","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321107","16.2","26.9","","","","1"
"2015","Québec, Quebec [24421]","2021A003524421","Number of cybercrime incidents","Number","223","units","0","v116321104","15.1","","..","","","0"
"2015","Québec, Quebec [24421]","2021A003524421","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321105","15.2","","..","","","1"
"2015","Sherbrooke, Quebec [24433]","2021A003524433","Number of cybercrime incidents","Number","223","units","0","v116321108","17.1","125","","","","0"
"2015","Sherbrooke, Quebec [24433]","2021A003524433","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321109","17.2","62.9","","","","1"
"2015","Trois-Rivières, Quebec [24442]","2021A003524442","Number of cybercrime incidents","Number","223","units","0","v116321110","18.1","47","","","","0"
"2015","Trois-Rivières, Quebec [24442]","2021A003524442","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321111","18.2","30.2","","","","1"
"2015","Montréal, Quebec [24462]","2021A003524462","Number of cybercrime incidents","Number","223","units","0","v116321102","14.1","964","","","","0"
"2015","Montréal, Quebec [24462]","2021A003524462","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321103","14.2","23.8","","","","1"
"2015","Ottawa-Gatineau, Quebec part [24505]","2021A003524505","Number of cybercrime incidents","Number","223","units","0","v116321100","13.1","157","","","","0"
"2015","Ottawa-Gatineau, Quebec part [24505]","2021A003524505","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321101","13.2","47.9","","","","1"
"2015","Ontario [35]","2021A000235","Number of cybercrime incidents","Number","223","units","0","v116321112","19.1","6477","","","","0"
"2015","Ontario [35]","2021A000235","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321113","19.2","56.2","","","","1"
"2015","Ottawa-Gatineau, Ontario part [35505]","2021A003535505","Number of cybercrime incidents","Number","223","units","0","v116321130","28.1","503","","","","0"
"2015","Ottawa-Gatineau, Ontario part [35505]","2021A003535505","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321131","28.2","52.6","","","","1"
"2015","Kingston, Ontario [35521]","2021A003535521","Number of cybercrime incidents","Number","223","units","0","v116321124","25.1","60","","","","0"
"2015","Kingston, Ontario [35521]","2021A003535521","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321125","25.2","46.0","","","","1"
"2015","Peterborough, Ontario [35529]","2021A003535529","Number of cybercrime incidents","Number","223","units","0","v116321132","29.1","95","","","","0"
"2015","Peterborough, Ontario [35529]","2021A003535529","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321133","29.2","102.0","","","","1"
"2015","Toronto, Ontario [35535]","2021A003535535","Number of cybercrime incidents","Number","223","units","0","v116321138","32.1","2009","","","","0"
"2015","Toronto, Ontario [35535]","2021A003535535","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321139","32.2","37.4","","","","1"
"2015","Hamilton, Ontario [35537]","2021A003535537","Number of cybercrime incidents","Number","223","units","0","v116321122","24.1","342","","","","0"
"2015","Hamilton, Ontario [35537]","2021A003535537","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321123","24.2","61.5","","","","1"
"2015","St. Catharines-Niagara, Ontario [35539]","2021A003535539","Number of cybercrime incidents","Number","223","units","0","v116321134","30.1","349","","","","0"
"2015","St. Catharines-Niagara, Ontario [35539]","2021A003535539","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321135","30.2","77.7","","","","1"
"2015","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Number of cybercrime incidents","Number","223","units","0","v116321126","26.1","717","","","","0"
"2015","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321127","26.2","132.2","","","","1"
"2015","Brantford, Ontario [35543]","2021A003535543","Number of cybercrime incidents","Number","223","units","0","v116321116","21.1","228","","","","0"
"2015","Brantford, Ontario [35543]","2021A003535543","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321117","21.2","229.4","","","","1"
"2015","Guelph, Ontario [35550]","2021A003535550","Number of cybercrime incidents","Number","223","units","0","v116321120","23.1","146","","","","0"
"2015","Guelph, Ontario [35550]","2021A003535550","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321121","23.2","111.9","","","","1"
"2015","London, Ontario [35555]","2021A003535555","Number of cybercrime incidents","Number","223","units","0","v116321128","27.1","290","","","","0"
"2015","London, Ontario [35555]","2021A003535555","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321129","27.2","63.9","","","","1"
"2015","Windsor, Ontario [35559]","2021A003535559","Number of cybercrime incidents","Number","223","units","0","v116321140","33.1","89","","","","0"
"2015","Windsor, Ontario [35559]","2021A003535559","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321141","33.2","36.8","","","","1"
"2015","Barrie, Ontario [35568]","2021A003535568","Number of cybercrime incidents","Number","223","units","0","v116321114","20.1","51","","","","0"
"2015","Barrie, Ontario [35568]","2021A003535568","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321115","20.2","23.9","","","","1"
"2015","Greater Sudbury, Ontario [35580]","2021A003535580","Number of cybercrime incidents","Number","223","units","0","v116321118","22.1","274","","","","0"
"2015","Greater Sudbury, Ontario [35580]","2021A003535580","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321119","22.2","166.8","","","","1"
"2015","Thunder Bay, Ontario [35595]","2021A003535595","Number of cybercrime incidents","Number","223","units","0","v116321136","31.1","69","","","","0"
"2015","Thunder Bay, Ontario [35595]","2021A003535595","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321137","31.2","59.3","","","","1"
"2015","Manitoba [46]","2021A000246","Number of cybercrime incidents","Number","223","units","0","v116321142","34.1","294","","","","0"
"2015","Manitoba [46]","2021A000246","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321143","34.2","23.3","","","","1"
"2015","Winnipeg, Manitoba [46602]","2021A003546602","Number of cybercrime incidents","Number","223","units","0","v116321144","35.1","123","","","","0"
"2015","Winnipeg, Manitoba [46602]","2021A003546602","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321145","35.2","15.2","","","","1"
"2015","Saskatchewan [47]","2021A000247","Number of cybercrime incidents","Number","223","units","0","v116321146","36.1","686","","","","0"
"2015","Saskatchewan [47]","2021A000247","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321147","36.2","61.3","","","","1"
"2015","Regina, Saskatchewan [47705]","2021A003547705","Number of cybercrime incidents","Number","223","units","0","v116321148","37.1","36","","","","0"
"2015","Regina, Saskatchewan [47705]","2021A003547705","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321149","37.2","14.8","","","","1"
"2015","Saskatoon, Saskatchewan [47725]","2021A003547725","Number of cybercrime incidents","Number","223","units","0","v116321150","38.1","180","","","","0"
"2015","Saskatoon, Saskatchewan [47725]","2021A003547725","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321151","38.2","58.3","","","","1"
"2015","Alberta [48]","2021A000248","Number of cybercrime incidents","Number","223","units","0","v116321152","39.1","2015","","","","0"
"2015","Alberta [48]","2021A000248","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321153","39.2","69.1","","","","1"
"2015","Calgary, Alberta [48825]","2021A003548825","Number of cybercrime incidents","Number","223","units","0","v116321154","40.1","","..","","","0"
"2015","Calgary, Alberta [48825]","2021A003548825","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321155","40.2","","..","","","1"
"2015","Edmonton, Alberta [48835]","2021A003548835","Number of cybercrime incidents","Number","223","units","0","v116321156","41.1","871","","","","0"
"2015","Edmonton, Alberta [48835]","2021A003548835","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321157","41.2","64.0","","","","1"
"2015","British Columbia [59]","2021A000259","Number of cybercrime incidents","Number","223","units","0","v116321158","42.1","4024","","","","0"
"2015","British Columbia [59]","2021A000259","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321159","42.2","85.9","","","","1"
"2015","Kelowna, British Columbia [59915]","2021A003559915","Number of cybercrime incidents","Number","223","units","0","v116321162","44.1","191","","","","0"
"2015","Kelowna, British Columbia [59915]","2021A003559915","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321163","44.2","97.4","","","","1"
"2015","Abbotsford-Mission, British Columbia [59932]","2021A003559932","Number of cybercrime incidents","Number","223","units","0","v116321160","43.1","126","","","","0"
"2015","Abbotsford-Mission, British Columbia [59932]","2021A003559932","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321161","43.2","68.3","","","","1"
"2015","Vancouver, British Columbia [59933]","2021A003559933","Number of cybercrime incidents","Number","223","units","0","v116321164","45.1","2086","","","","0"
"2015","Vancouver, British Columbia [59933]","2021A003559933","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321165","45.2","83.3","","","","1"
"2015","Victoria, British Columbia [59935]","2021A003559935","Number of cybercrime incidents","Number","223","units","0","v116321166","46.1","546","","","","0"
"2015","Victoria, British Columbia [59935]","2021A003559935","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321167","46.2","149.5","","","","1"
"2015","Yukon [60]","2021A000260","Number of cybercrime incidents","Number","223","units","0","v116321168","47.1","36","","","","0"
"2015","Yukon [60]","2021A000260","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321169","47.2","96.2","","","","1"
"2015","Northwest Territories [61]","2021A000261","Number of cybercrime incidents","Number","223","units","0","v116321170","48.1","39","","","","0"
"2015","Northwest Territories [61]","2021A000261","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321171","48.2","88.5","","","","1"
"2015","Nunavut [62]","2021A000262","Number of cybercrime incidents","Number","223","units","0","v116321172","49.1","6","","","","0"
"2015","Nunavut [62]","2021A000262","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321173","49.2","16.3","","","","1"
"2016","Total police-reported cybercrime","","Number of cybercrime incidents","Number","223","units","0","v116321076","1.1","23996","","","","0"
"2016","Total police-reported cybercrime","","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321077","1.2","74.1","","","","1"
"2016","Total Non-Census metropolitan area","","Number of cybercrime incidents","Number","223","units","0","v116321078","2.1","6832","","","","0"
"2016","Total Non-Census metropolitan area","","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321079","2.2","79.9","","","","1"
"2016","Total Census metropolitan area","","Number of cybercrime incidents","Number","223","units","0","v116321080","3.1","17164","","","","0"
"2016","Total Census metropolitan area","","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321081","3.2","72.1","","","","1"
"2016","Newfoundland and Labrador [10]","2021A000210","Number of cybercrime incidents","Number","223","units","0","v116321082","4.1","217","","","","0"
"2016","Newfoundland and Labrador [10]","2021A000210","Rate per 100,000 population","Rate per 100,000 population","265","units","0","v116321083","4.2","41.0","","","","1"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Number of cybercrime incidents","Number","223","units","0","v116321084","5.1","49","","","","0"
